index,protein,dc
0,YLR370C,61.45233551888618
1,YLR289W,31.69905149120581
2,YBR288C,6.24191426820526
3,YBL061C,20.810170989232986
4,YER099C,36.84713648999287
5,YBR011C,288.7274599101534
6,YNL312W,10.89271662224995
7,YGR111W,41.521446724656215
8,YML112W,5.96960053822482
9,YBR155W,5.55866356516608
10,YBR126C,191.25376965318205
11,YLR241W,40.35740274147062
12,YLL011W,36.04860224093264
13,YDL208W,59.527649378509594
14,YJL080C,158.5599389632685
15,YCR084C,27.876188176839026
16,YHR152W,7.63604111273191
17,YFL005W,45.54278067877189
18,YPR019W,39.765794278444694
19,YDR150W,20.810170989232986
20,YKL054C,111.14404242343373
21,YHR076W,109.67828463325338
22,YKL157W,80.25505071665283
23,YJL013C,12.451068834429739
24,YDR074W,17.45617325927806
25,YML032C,48.1987369718556
26,YCR093W,75.42771994154984
27,YKL218C,17.592364842728077
28,YCR092C,3.1918053917595
29,YIL142W,123.85393075345127
30,YBR055C,73.9983404260162
31,YFR028C,73.86328831633705
32,YGR232W,80.18348186626505
33,YGL008C,125.15074716471393
34,YMR028W,72.85353597931768
35,YHR019C,158.22343323594725
36,YJL122W,59.96919248187879
37,YDR216W,256.62011633239575
38,YGR205W,10.463260994278071
39,YOL081W,40.712089027908675
40,YMR246W,130.21741233010385
41,YDR316W,11.917965037608461
42,YBR135W,20.12150353027014
43,YLR384C,10.84066745171144
44,YDL003W,23.54957900239038
45,YNL311C,19.53929060738188
46,YGL104C,61.81931463542955
47,YHL035C,61.81931463542955
48,YDR369C,28.24315502329236
49,YML123C,154.23165976216038
50,YDR177W,1.94358373552329
51,YFL008W,23.37268542441993
52,YPR018W,10.64657137814228
53,YPL018W,10.072826218701621
54,YJL187C,12.71860207507558
55,YJR127C,10.84066745171144
56,YDR224C,229.61253357471404
57,YPL166W,67.63310649010519
58,YJR072C,214.4494473609928
59,YBL008W,39.570825689058054
60,YOR367W,12.762019079635452
61,YER059W,1.82764892976429
62,YPR029C,29.809801641434728
63,YDR146C,19.06364683437768
64,YBR010W,98.37620108039707
65,YBR035C,19.88792977509295
66,YPL110C,91.43071882098502
67,YLL018C,88.99885764661275
68,YNR008W,106.10676348142331
69,YBR154C,83.36376178842809
70,YOR142W,125.51567901213643
71,YDR255C,31.251242811176155
72,YCR002C,86.20461576713971
73,YHR073W,1.88081154803137
74,YNL037C,203.98181394040648
75,YGR142W,35.24577191662867
76,YFR039C,2.41599903675816
77,YCL010C,18.77444716080672
78,YAR003W,3.13014788333387
79,YKR029C,2.23905770733477
80,YDL040C,23.392007449642243
81,YDL137W,14.93087082393516
82,YER078C,60.00620825174984
83,YNR031C,92.00102856473863
84,YJL074C,58.72847605546289
85,YGL062W,141.16254236219635
86,YCR091W,2.71016686292786
87,YMR308C,81.65350047813807
88,YMR276W,18.975198027743716
89,YGR204W,87.74790238744542
90,YLR127C,4.83199807351632
91,YJR134C,121.61519715843673
92,YER164W,7.06368208929451
93,YHR120W,4.22918737113444
94,YFL045C,223.13316064434397
95,YDR339C,4.30573079548745
96,YER127W,52.374012326266616
97,YDL204W,68.56664273930606
98,YLR270W,32.42902899563802
99,YGR202C,110.80709393056993
100,YKR067W,61.72528995215956
101,YHR107C,45.323447898143826
102,YMR093W,9.762167874641431
103,YBR081C,36.056897122054174
104,YJL207C,59.527468043550186
105,YMR275C,42.47402658230994
106,YOR201C,29.19381353481648
107,YBL022C,93.45038926899916
108,YHL007C,32.975524423433555
109,YLR226W,15.663011905736651
110,YPL265W,20.057816720149802
111,YPR178W,6.75450012415354
112,YGL003C,14.9915496626185
113,YDL084W,24.231392164065326
114,YDL153C,121.61519715843673
115,YPR184W,31.195721042394787
116,YBR059C,13.478617557824002
117,YMR153W,22.47308031269937
118,YCR066W,14.3074123175375
119,YDR099W,2.23905770733477
120,YGL197W,121.61519715843673
121,YLR442C,32.00728501032453
122,YCR048W,46.85503941522991
123,YOL062C,1.64551498699183
124,YDR477W,46.27151103910383
125,YLR430W,106.35719003425763
126,YMR005W,34.210767722985224
127,YMR226C,190.57490528816504
128,YGR159C,28.635017073640118
129,YGL100W,83.88242110835479
130,YKR060W,52.374012326266616
131,YHR001W,17.8428463968604
132,YPL029W,19.795207516317326
133,YHR033W,271.7120138471713
134,YMR135C,57.84796337946494
135,YOR326W,122.60492134009468
136,YNL134C,16.49611615340352
137,YER057C,18.975198027743716
138,YER100W,20.101774157123394
139,YBR049C,64.0056782563336
140,YDL022W,32.975524423433555
141,YER070W,55.49588826618236
142,YDR473C,4.35958277228145
143,YGL111W,209.37170350108715
144,YDR510W,1.51708737525402
145,YER009W,106.10676348142331
146,YPL001W,12.2008465691307
147,YLR134W,101.32677450161458
148,YBR083W,69.95996678603586
149,YJL014W,159.1578308739562
150,YNL250W,47.382288540014315
151,YLR238W,5.574216696593401
152,YKL120W,50.125170299341
153,YJR062C,11.989128879989043
154,YNL169C,50.125170299341
155,YPL013C,82.57382165103682
156,YLR389C,30.186443836163498
157,YJR140C,30.431815149345454
158,YER027C,24.72337471844071
159,YPR119W,29.336421092036254
160,YLR362W,62.69371552016365
161,YER023W,80.4440096498146
162,YOR220W,59.228315690498775
163,YNL180C,4.0908048899758995
164,YPR085C,67.63310649010519
165,YDR127W,123.55182801299355
166,YML072C,16.24041985411627
167,YBR286W,2.0195158970832
168,YNL014W,230.908106801086
169,YDR106W,20.057816720149802
170,YML100W,47.60323666795733
171,YJL005W,114.67925284724357
172,YLR096W,70.91131020366592
173,YJL095W,79.99218710234737
174,YBR080C,150.67720040915086
175,YNL210W,24.912313194300886
176,YLL001W,116.1713296963195
177,YNL160W,48.54255934092333
178,YDR490C,5.10152991623167
179,YOL005C,32.6731252564764
180,YGL087C,17.572896712478062
181,YNL271C,33.495811683005165
182,YHR165C,27.919381214456397
183,YHR059W,54.20266480597044
184,YKL099C,52.374012326266616
185,YBR125C,121.40785246094683
186,YMR285C,69.3889441168156
187,YDR460W,36.202465466982076
188,YPR167C,103.38501826548266
189,YGL237C,67.63310649010519
190,YCR008W,1.82764892976429
191,YBR187W,35.24577191662867
192,YDL112W,24.24679036985301
193,YOR089C,74.33663333531649
194,YPL115C,48.36991132686732
195,YDR113C,1.47101752276095
196,YIL129C,10.08310635354557
197,YGR196C,59.754791380137554
198,YHR128W,34.636273567959236
199,YER111C,34.94759044531425
200,YBR114W,25.19424987452074
201,YDR233C,6.54997245287324
202,YMR209C,16.68026099459052
203,YEL013W,47.006341051510255
204,YOL016C,39.65738201521141
205,YKL216W,19.107084497371115
206,YGL105W,166.55290730268615
207,YFL022C,118.18942088843797
208,YGL210W,33.05506777949167
209,YFR011C,18.8098776498067
210,YGL019W,203.74403167073626
211,YBL036C,12.788901523153061
212,YML102W,2.23905770733477
213,YIL108W,12.3547685110385
214,YCR030C,24.98128257174361
215,YKR096W,49.6365490304969
216,YGL006W,4.30573079548745
217,YMR056C,97.5477858793467
218,YGL213C,8.18575931905773
219,YOR335C,126.06673559998983
220,YKL103C,24.598793501537212
221,YBL030C,113.13546698040568
222,YDR175C,54.20266480597044
223,YMR058W,74.50463789792246
224,YHR066W,164.4055496385234
225,YJL157C,37.52094866554256
226,YBR094W,1.64551498699183
227,YBR203W,4.4896766192047295
228,YNL223W,3.47816768629757
229,YHR086W,64.0056782563336
230,YKR028W,194.96174675032285
231,YFL053W,11.917965037608461
232,YOL102C,4.95458050794991
233,YPR040W,39.076231640491976
234,YGL245W,300.0642104051285
235,YBL029W,17.8428463968604
236,YLR153C,117.93416426435672
237,YBR218C,85.5667093610254
238,YPL003W,3.68897541996561
239,YIL078W,109.97548039079477
240,YMR172W,104.39982045804297
241,YNR035C,75.38221808444452
242,YDR424C,4.83199807351632
243,YPR069C,90.55937452563899
244,YPL129W,83.408055170678
245,YDR130C,54.04046655511842
246,YDR240C,64.0056782563336
247,YKR081C,218.0505976541519
248,YDR482C,1.78178409516978
249,YLR449W,86.14842632106057
250,YJL069C,68.75101601012507
251,YML057W,87.50521636501597
252,YLL034C,13.33736558568664
253,YLR267W,13.97017201082678
254,YNL090W,7.88627392431506
255,YLR199C,34.82480488239487
256,YGL131C,2.41599903675816
257,YGL207W,142.32841959868702
258,YPR164W,48.54255934092333
259,YER002W,93.0316970169544
260,YLR336C,17.21846609139695
261,YFL033C,12.42167155256349
262,YLL027W,74.52070657437432
263,YOL111C,11.043577102023422
264,YIL055C,7.07105578085109
265,YER075C,3.3351589892586304
266,YNL032W,6.03223710390093
267,YER132C,36.84713648999287
268,YDR131C,25.569066699188305
269,YER114C,32.49724019761619
270,YGL011C,34.82480488239487
271,YJL044C,6.24191426820526
272,YOR230W,108.70223788909223
273,YHR020W,96.77660827302856
274,YEL062W,21.76873598474088
275,YDL225W,42.35656756129876
276,YPL179W,1.94358373552329
277,YBR145W,9.838413253525859
278,YNL099C,4.53059272232538
279,YNL192W,19.88698083482398
280,YOL045W,21.336853264274957
281,YLL026W,166.1938351352196
282,YGL171W,9.762167874641431
283,YGL220W,7.36522360702079
284,YOL100W,9.44577496243605
285,YGR262C,52.48231060513841
286,YDR158W,93.50648021993749
287,YGL137W,240.3801752741908
288,YMR049C,217.3460415551864
289,YPR124W,34.79128021834367
290,YBR133C,14.18925188133125
291,YLR197W,156.86221932944667
292,YDR398W,17.21846609139695
293,YJL164C,36.213105075700504
294,YKL143W,121.61519715843673
295,YNL138W,52.706677903075246
296,YGL190C,39.27159003790883
297,YGR264C,108.73593638253361
298,YLR287C,3.96937393084701
299,YPR122W,15.36468195184521
300,YKL129C,20.55452745714409
301,YCL054W,114.68457739232585
302,YER003C,89.57873751776367
303,YJR061W,2.71016686292786
304,YMR201C,11.785812902966631
305,YJL001W,46.54416710594326
306,YMR190C,15.337341813199368
307,YIR012W,37.69639721078168
308,YDR453C,202.18619851092586
309,YIL104C,5.43411715536744
310,YIL079C,26.191820079587067
311,YNL088W,21.74460553281816
312,YOR351C,5.3089766036932104
313,YFR016C,8.94374926540174
314,YOR362C,103.01427090147281
315,YOR303W,16.24041985411627
316,YGL216W,7.33979453116848
317,YMR105C,209.06582045151023
318,YER133W,181.89011074919907
319,YBR228W,103.38501826548266
320,YIL112W,18.845247769718313
321,YNL053W,6.54997245287324
322,YFL016C,31.14549177575044
323,YDL147W,164.36378514775353
324,YDR299W,33.79040166532351
325,YJR076C,28.957245236435675
326,YNL038W,38.79845868701169
327,YGL158W,12.57228645348122
328,YML088W,16.2166856162688
329,YHR170W,149.70807182914743
330,YFR040W,50.84256763467754
331,YBR139W,8.200537685768602
332,YHR099W,158.29895021383214
333,YGR154C,41.521446724656215
334,YOR100C,6.7171731220043105
335,YOR145C,52.374012326266616
336,YDL043C,27.412616846203825
337,YNL132W,288.09489756639726
338,YIL105C,7.83633276261388
339,YLR369W,49.399595390561
340,YML048W,37.03968610440041
341,YJR074W,16.41738221182041
342,YJR064W,136.1352860878488
343,YOL061W,36.48290165677424
344,YIL021W,94.95853795237501
344,YIL021W,161.94241014705787
345,YBR025C,148.1240698994588
346,YML056C,54.39677218852337
347,YLR386W,2.23905770733477
348,YBR063C,26.4689299606952
349,YLR086W,64.0056782563336
350,YMR239C,18.97519802774372
351,YEL064C,32.061065863449585
352,YML010W,12.15916546371028
353,YLR359W,315.78908420232204
354,YJL138C,33.495811683005165
355,YLR309C,4.83199807351632
356,YMR218C,2.71016686292786
357,YPR073C,68.75101601012507
358,YLR129W,32.530853844088554
359,YPL262W,35.14966251869573
360,YLR421C,61.72528995215956
361,YNL181W,2.41599903675816
362,YPL236C,84.00553791376143
363,YDR427W,16.17529854096456
364,YLR422W,17.393812888206707
365,YHR115C,189.66607206803334
366,YBL076C,26.191820079587067
367,YOL115W,53.41635577328204
368,YNL093W,7.98506012065255
369,YBR014C,171.23017233819021
370,YDR190C,6.542508179668561
371,YOR276W,6.0051732013929495
372,YOR191W,39.65738201521141
373,YNL281W,34.210767722985224
374,YGL017W,10.973571788565788
375,YHR137W,259.94307260708825
376,YLR216C,103.38501826548266
377,YHR065C,164.06816225725169
378,YNL055C,11.584275771446931
379,YCL029C,221.75880698245263
380,YIL070C,72.5142711376471
381,YDR071C,35.66520763722502
382,YGL146C,35.284061850440615
383,YOR014W,23.392007449642243
384,YML058W,7.1667075485236005
385,YHR046C,50.429679697745115
386,YOL033W,57.40024207762221
387,YGL121C,76.23215360403273
388,YAL012W,19.06364683437768
389,YMR019W,104.48518920772587
390,YJL117W,10.95286527236666
391,YDL042C,80.25505071665283
392,YBR149W,8.45164619958541
393,YMR117C,8.94374926540174
394,YKL007W,142.17191618087418
395,YBR121C,46.85503941522991
396,YLR427W,23.94270073035957
397,YDL116W,10.68288255857958
398,YPL150W,34.82480488239487
399,YGR135W,62.8573058152801
400,YKL022C,18.94250047233085
401,YLR413W,1.53458395077428
402,YKL048C,131.97883308437085
403,YDR432W,168.2887649940114
404,YJL098W,37.003962718062816
405,YDR465C,55.05007712479482
406,YLR187W,100.19186704721936
407,YLR222C,211.17219391454745
408,YJL026W,3.00250550979129
409,YJL106W,160.67594625353024
410,YDR343C,36.39987668229631
411,YIL068C,17.02300648336281
412,YBL016W,60.360763304601804
413,YNL110C,37.003962718062816
414,YMR196W,6.0051732013929495
415,YHR171W,54.64784555618579
416,YOL133W,29.45170683419662
417,YPL249C,37.69639721078168
418,YBL017C,7.10392007979906
419,YOR054C,50.149695827283985
420,YOR073W,3.39789892328539
421,YHR014W,18.089114982374902
422,YHR088W,8.02665678122437
423,YOR125C,65.1170184731006
424,YKL166C,78.52178111264864
425,YOL123W,70.46182281239898
426,YLR409C,2.71016686292786
427,YCL017C,49.399595390561
428,YFL002C,18.63309856619838
429,YAL047C,32.52475875789078
