index,protein,dc
0,YLR370C,34.906785102805394
1,YDR331W,8.54776235605199
2,YPR168W,187.6321735184285
3,YDR404C,95.38866280388064
4,YBR288C,14.808371962483667
5,YPR094W,109.97167709863777
6,YBL061C,33.006510062310596
7,YDR334W,33.11370007251103
8,YBR011C,62.43270004332995
9,YNL312W,67.86445751235851
10,YML112W,28.605604968341055
11,YDR502C,192.9426979017072
12,YOR294W,50.50840237616135
13,YBR155W,5.376231603764927
14,YBR126C,142.42689770341798
15,YPL233W,34.52412492866814
16,YBL018C,35.925794389669036
17,YNL104C,25.046155609657667
18,YPL143W,533.3529789073946
19,YJR138W,282.5212112244456
20,YLL011W,322.8415402245117
21,YDL174C,19.78575364071773
22,YDL208W,63.5072786924953
23,YML014W,11.76656533281389
24,YBR104W,5.8651624697038365
25,YJL080C,207.76957205384824
26,YGR120C,45.164680266293125
27,YCR084C,50.45500564981514
28,YDL061C,3.620673552913277
29,YPR019W,11.11994813251591
30,YDR150W,55.21893018123238
31,YKL054C,14.664094460215992
32,YJL102W,1.26229022647225
33,YER086W,434.5997182270659
34,YDR110W,1.5151131374732771
35,YNL216W,22.082427065618052
36,YKL157W,96.28976332840942
37,YBR229C,26.05766147622068
38,YGR170W,205.2613058672607
39,YAL041W,36.84864787666928
40,YOR158W,131.05587791350112
41,YKR057W,92.6736507890041
42,YLR166C,49.74588556752694
43,YKR021W,3.253164159937537
44,YDR083W,57.85507163538037
45,YML032C,110.22530689699039
46,YDR074W,51.42202823758542
47,YJL155C,7.54657244497513
48,YMR061W,187.4517742198622
49,YOL040C,67.12069208657348
50,YCR093W,130.01984173802865
51,YAL009W,27.68320121212801
52,YJL002C,29.596864212998682
53,YER055C,2.598422643534403
54,YKL218C,45.20379601712307
55,YIL031W,12.493030714740938
56,YCR092C,73.27042906064136
57,YIL142W,112.33343218873854
58,YNR007C,10.723375201546997
59,YBR055C,298.65669027630946
60,YGL187C,11.185605375651326
61,YGR232W,70.97849343316463
62,YFR028C,34.860844815124565
63,YOR141C,135.75520564545323
64,YMR028W,7.538386705877176
65,YPL081W,559.4329459238567
66,YHR019C,103.7059933221109
67,YDR216W,4.24155232094625
68,YJR084W,189.843856678872
69,YER157W,119.32939429091287
70,YGR205W,1.87504007010992
71,YMR267W,38.846498004789794
72,YOR085W,9.286826986660706
73,YMR246W,42.78656583008283
74,YER151C,84.26763772394617
75,YEL036C,112.63313792146717
76,YJR043C,12.846662114135048
77,YJL062W,3.7788688533767703
78,YMR263W,111.80665992322322
79,YBR135W,75.84871694525964
80,YLR384C,61.56546528279401
81,YDL003W,29.637397063767764
82,YKL183W,11.769074628909829
