index,protein,dc
0,YLR370C,8.1474877084891
1,YDR404C,82.95221049417474
2,YPR168W,88.27082065614347
3,YBR288C,5.00067413433825
4,YBL061C,7.63168882601348
5,YMR280C,5.647754199890365
6,YDR334W,90.15747367709074
7,YBR011C,294.92829652938525
8,YNL312W,213.06264193462601
9,YOR093C,62.15118116443525
10,YML112W,12.577260924430298
11,YOR294W,657.1444282840824
12,YBR155W,12.4227808163054
13,YDL182W,113.94262207503144
14,YPL105C,5.22904929315899
15,YPL233W,29.158986649423266
16,YBR126C,9.00115709571367
17,YNL104C,18.41456261241574
18,YPL143W,91.86158570975844
19,YLL011W,1.93009578365798
20,YPL245W,2.745377608958335
21,YJL080C,89.64200207324578
22,YGR120C,14.639469336950631
23,YDR054C,109.58379898343775
24,YCR084C,7.48240722958433
25,YDL061C,77.58232143858159
26,YPL133C,2.3070004554578
27,YKL054C,306.5936296987423
28,YJL102W,4.79237895979976
29,YHR076W,13.254605514392571
30,YER086W,74.59058672359322
31,YDR110W,0.815281825300355
32,YJR032W,23.621079045598936
33,YBR108W,5.14381275348903
34,YKL157W,9.63712373727489
35,YBR229C,12.820817948876428
36,YGR170W,7.556510497395742
37,YOR158W,130.2068436145475
38,YDR083W,5.72315881289739
39,YIL150C,2.9512028518657347
40,YDR074W,35.437201564535066
41,YJL155C,12.209903243113079
42,YMR061W,6.36899302011778
43,YOL040C,1027.1096855356632
44,YCR093W,135.9810386294258
45,YIL031W,2.885079370234765
46,YCR092C,2.54607567138246
47,YIL142W,18.792084935888067
48,YBR055C,71.10886777330109
49,YGL187C,3.18449651005889
50,YGR232W,104.32355220809572
51,YFR028C,38.37047244416032
52,YOR141C,111.29807506452926
53,YGL008C,388.73869524373134
54,YJR084W,11.32504761053643
55,YER157W,38.10487768934855
56,YJL082W,7.02672014278515
57,YOL081W,67.22839295756907
58,YER151C,261.7154091137457
59,YEL036C,29.168878133077506
60,YDR111C,3.028707262430325
61,YJR043C,28.229298848085847
62,YMR263W,67.28474908908669
63,YBR135W,15.883656486271626
64,YBL086C,9.928130527416805
65,YLR384C,34.11119542743877
66,YDL003W,32.63908733157089
67,YCL044C,11.68766009888123
68,YHR041C,76.35599653134113
69,YJL036W,5.65698077149077
70,YOR304C-A,14.213530941766098
71,YDR369C,34.60289755433152
72,YDL143W,18.792084935888067
73,YFL008W,60.026006393977404
74,YGL124C,7.146243349174785
75,YPR018W,16.789952102347115
76,YPL018W,40.17184120332685
77,YNL022C,18.928594186157667
78,YNL092W,4.494888670280369
79,YBL092W,756.6772401203027
80,YHR118C,263.87193781682873
81,YJL187C,117.09146194454323
82,YNL284C,33.03461851229994
83,YDR224C,15.224137641968731
84,YOR064C,18.03501721183034
85,YBR146W,119.37967311827941
86,YPL166W,22.51098156523718
87,YBL008W,21.10300005222114
88,YPR029C,38.356276833811926
89,YOL146W,12.52978438384571
90,YDR146C,3.0125934110249
91,YBR010W,539.6664987518257
92,YKL075C,28.32910258935462
93,YPL110C,5.69210337369379
94,YJR005W,12.13912128001706
95,YBR154C,211.18725743104082
96,YLR448W,760.812463623338
97,YOR289W,82.46184402274497
98,YLR021W,31.0552464547225
99,YOR142W,5.839664407713
100,YDR255C,58.76825581623735
101,YDR322C-A,4.85253553620333
102,YPL167C,28.88904446198545
103,YLL005C,24.95757495960604
104,YLR025W,19.962359447013178
105,YOL148C,99.48808579524473
106,YPL064C,29.412568372246522
107,YMR273C,106.47994510956305
108,YMR031C,74.30795873025637
109,YMR016C,5.908701531043739
110,YCR002C,45.46235732995913
111,YJL110C,5.01981463485411
112,YHR073W,2.80315465539659
113,YNL037C,3.18449651005889
114,YNL292W,4.87755066466575
115,YGR104C,41.39644025889771
116,YCL010C,99.07694389316417
117,YAR003W,44.922265766104324
118,YOL070C,15.68636064167349
119,YKR029C,43.51538261577772
120,YDL040C,36.18088146132959
121,YER078C,5.7099684291911
122,YJL148W,99.45734606019515
123,YBR269C,11.015011499531806
124,YNR031C,21.60813640814533
125,YJL074C,49.58114675030449
126,YGL062W,24.66839387248486
127,YDR425W,5.65698077149077
128,YMR308C,51.08711777172489
129,YKL091C,5.95258970733808
130,YLR069C,37.3340009303752
131,YLR127C,34.57471325545811
132,YGR204W,129.51547075799817
133,YJR134C,0.815281825300355
134,YER164W,83.44125941411463
135,YBL024W,17.034208450721675
136,YBL027W,987.7774868714572
137,YOR233W,40.933184067742445
138,YER127W,25.11395056908868
139,YDL122W,0.815281825300355
140,YHR104W,3.18449651005889
141,YKR037C,47.86431488218844
142,YDL126C,136.73716784784304
143,YIR037W,118.20173637460984
144,YKR010C,1.61410452019512
145,YIL161W,17.19507888208203
146,YLR270W,9.008133757812939
147,YMR033W,115.75218842372219
148,YGR071C,8.80114635576792
149,YLR287C-A,382.001661972449
150,YHR107C,45.46235732995913
151,YER110C,111.00351509182262
152,YMR093W,72.75210740286492
153,YBR081C,126.17565109129126
154,YMR275C,10.819640038280527
155,YLR299W,8.96443345129144
156,YOR201C,12.057207350607401
157,YBL022C,2.09077779929686
158,YPR041W,94.38954402549314
159,YHL007C,6.671991781868799
160,YFR031C,19.62160294454966
161,YBR065C,46.80779266295631
162,YNL084C,26.9739587292256
163,YLR226W,256.09987769633483
164,YIL130W,1.43597517059273
165,YPR178W,116.38594753445922
166,YDL084W,5.586627351607909
167,YGR010W,5.81666058565478
168,YDL153C,286.7098188540433
169,YER056C-A,187.22691100815445
170,YBR059C,33.39210821632452
171,YPR184W,44.93205178904173
172,YMR153W,14.478071288821404
173,YMR186W,341.51216719457705
174,YCR066W,18.137263527572483
175,YDR099W,412.04104910660146
176,YGL197W,5.95258970733808
177,YOR279C,30.52663980499815
178,YFR050C,54.92809446010635
179,YDL150W,92.07881989036741
180,YAL024C,5.36583765111795
181,YFR009W,5.13660325602155
182,YLR442C,20.313237016770618
183,YKR074W,1.61410452019512
184,YBL037W,40.838202696446004
185,YPR179C,10.47996162340332
186,YOL062C,2.84036573198574
187,YDR477W,26.012776118298
188,YLR430W,56.12932379113712
189,YMR005W,90.29381158535794
190,YGR159C,616.7700419263472
191,YKL192C,16.11803605849404
192,YJR092W,2.84036573198574
193,YGL100W,31.479547150804134
194,YDR330W,3.94226558787557
195,YOR250C,6.36899302011778
196,YGL128C,8.40225701306481
197,YMR135C,89.58753026106783
198,YNL232W,20.582042982179384
199,YOR326W,217.97881767296417
200,YPR089W,14.765916149407325
201,YBR049C,7.87664587271757
202,YPL048W,131.49764424364787
203,YJL061W,26.268874391124054
204,YDL022W,71.19838331660917
205,YER146W,309.63092150594423
206,YER070W,17.239387253930328
207,YDR473C,88.95429821993206
208,YPR002W,2.97629485366904
209,YGR068C,5.71040313260757
210,YPL001W,278.86230150496715
211,YLR146C,3.18449651005889
212,YMR068W,2.52547191913221
213,YLR298C,19.66033405628065
214,YOR046C,13.046615352691308
215,YNL250W,46.80779266295631
216,YOR249C,19.815781418221867
217,YPL013C,93.53322905825976
218,YLR264W,27.30179551826305
219,YJR140C,7.603903360036265
220,YER027C,17.33248111510401
221,YDL135C,3.9570758063505096
222,YLR362W,12.99683996348021
223,YOR188W,0.815281825300355
224,YMR313C,15.06951563683997
225,YLR185W,63.93395612579909
226,YKR008W,90.9407062606091
227,YFR010W,137.32434074057204
228,YOR224C,159.6829785138376
229,YOR220W,33.39210821632452
230,YLR401C,7.919968674632201
231,YNL254C,37.19068586609872
232,YGR037C,2.58559642741003
233,YDR127W,5.109878836148975
234,YML072C,266.58638014745367
235,YML100W,9.00115709571367
236,YJL095W,4.6539385282255346
237,YBR080C,97.68920360248067
238,YBL072C,582.6878323885556
239,YDR490C,30.507984921230115
240,YPR133C,73.40498504393024
241,YOL005C,135.4447973717989
242,YIL071C,18.65872945364913
243,YJL052W,205.07923303833857
244,YGL087C,14.09398205550095
245,YHR165C,172.1569307067565
246,YHR059W,63.74028892602922
247,YBR125C,15.699505469759046
248,YDR460W,85.0623747738596
249,YGL237C,6.990002606610259
250,YCR008W,39.80164062019446
251,YML114C,23.803038903202598
252,YBR187W,9.81671519571944
253,YAL043C,102.11918014894998
254,YLR045C,20.82326285184634
255,YDL095W,89.81041053064094
256,YHR013C,41.69062429692556
257,YNL102W,22.013949210710813
258,YNR043W,7.880676716133919
259,YNL062C,8.09707666919051
260,YKR085C,16.367513436772892
261,YGR196C,10.778081256239638
262,YER111C,11.593856399644476
263,YGR019W,2.97629485366904
264,YIL091C,147.33978726233838
265,YEL013W,11.45877490529304
266,YDL054C,3.18449651005889
267,YOL016C,29.722134968759214
268,YGL105W,14.418466955732109
269,YHL025W,19.82449101369227
270,YBR131W,4.1997325245517505
271,YPL137C,23.302650693963
272,YGL019W,87.23857614740642
273,YJL203W,99.92766158280531
274,YBL036C,9.630871720315284
275,YOL017W,7.487273607169155
276,YPL240C,76.3581060802328
277,YLR315W,58.100933250058475
278,YGL078C,1.21036002220118
279,YBR156C,23.092477892571083
280,YBL093C,98.0493523196215
281,YOL142W,19.11056684722348
282,YML102W,26.715479558064068
283,YIL108W,8.033946531192765
284,YGR178C,984.467646574171
285,YCR030C,32.99011574813469
286,YKR096W,0.815281825300355
287,YEL039C,31.0552464547225
288,YIL162W,4.5376417233498
289,YGL006W,3.18449651005889
290,YKL028W,167.9392124006187
291,YGL213C,83.30397943296548
292,YGR214W,207.96162130075297
293,YDR108W,103.98780526618074
294,YOR335C,29.46883064706896
295,YBL030C,103.8448817165324
296,YDR175C,129.09210786222388
297,YBR171W,70.81131000002983
298,YIR004W,5.03347682866524
299,YHR066W,62.16196382110406
300,YLR210W,3.6556475572860947
301,YKR022C,44.77344017075214
302,YBR094W,8.28935201578977
303,YNL223W,10.176783916728196
304,YDL075W,845.8411467584459
305,YHR086W,51.220894844004526
306,YKR028W,259.73874159865767
307,YGR248W,3.18449651005889
308,YGL245W,302.60885276939945
309,YHL033C,828.5463500138073
310,YDR123C,3.18449651005889
311,YDR489W,12.52978438384571
312,YEL044W,20.63129592904362
313,YLR153C,27.352410923537267
314,YBR218C,22.463268546366947
315,YMR075W,129.96142502179083
316,YMR172W,10.03594555869387
317,YNR035C,40.933184067742445
318,YDR424C,20.11632663346769
319,YPR069C,3.18449651005889
320,YPL129W,250.3606201671079
321,YMR132C,8.70500661312543
322,YDR337W,128.77078805461954
323,YKR081C,691.3135851203723
324,YPR171W,342.7219459324273
325,YJL011C,113.67542987953367
326,YDR482C,70.01581488317471
327,YLR449W,484.3011106396066
328,YDR179C,21.96490237161833
329,YJL069C,20.107213182230776
330,YML057W,28.15455548769288
331,YLL034C,2.73797111845622
332,YLR055C,89.14397965611573
333,YLR333C,24.686370189769846
334,YDL103C,11.015011499531806
335,YLR342W,310.54743178971927
336,YNL252C,26.97224239845648
337,YLR199C,44.9224797903558
338,YGL207W,231.2368651106404
339,YGL055W,225.04967643467523
340,YKL122C,24.903364128468386
341,YPR164W,40.458625928028034
342,YLR336C,4.095439392435945
343,YGR006W,35.95158896178582
344,YLL027W,8.2040863815295
345,YOL111C,3.18449651005889
346,YIL055C,1.50695407614093
347,YMR048W,8.31392091593565
348,YNL032W,11.55772285998632
349,YGR074W,163.45127051876653
350,YER132C,18.673508595683796
351,YNL225C,3.18449651005889
352,YML034W,5.825354137365755
353,YDR318W,35.95158896178582
354,YGL011C,114.74694463273664
355,YPL152W,24.279284394376223
356,YJL044C,8.855289284076994
357,YGR048W,19.72420724938575
358,YOR230W,3.0716984254871997
359,YDL225W,48.52870249532311
360,YDL125C,1.11010050078973
361,YOR091W,85.89289218735101
362,YPL179W,23.621079045598936
363,YNL099C,11.55772285998632
364,YDR121W,192.01478180944662
365,YHR063C,1.54774801661184
366,YOL045W,2.32046052299091
367,YGL175C,12.274948755442434
368,YLL026W,189.924748791651
369,YKL018W,150.11679694764686
