index,protein,dc
0,YLR370C,1.24371108734104
1,YDR331W,1.3506035019091
2,YPR168W,5.06805989062378
3,YBR288C,5.34641357790176
4,YKL006C-A,3.33537754204736
5,YPR094W,3.22661371768941
6,YBR213W,1.89914900742761
7,YDR404C,1.72900720515137
8,YER099C,6.7544407388716
9,YMR280C,3.65508591764349
10,YOL043C,1.42301963809891
11,YOR140W,1.5046040081611
12,YLR443W,1.77734022473581
13,YBL010C,3.60857788381711
14,YDL072C,2.10470930540676
15,YGR111W,3.17716768404892
16,YML112W,3.94697251717102
17,YDR502C,4.9383722280564
18,YBR155W,4.9236095379964
19,YOR294W,3.4155423085164003
20,YCL067C,2.902553016297
21,YPL105C,10.58805092396079
22,YPL233W,3.82024787048738
23,YPL112C,1.62843353701257
24,YBL018C,1.61851735174972
25,YLR241W,5.2176074540791495
26,YDL208W,4.82929617528582
27,YPL245W,2.10470930540676
28,YBR076W,1.24371108734104
29,YML014W,5.30012410276976
30,YNL131W,1.37926177595859
31,YDR054C,1.47978906389733
32,YGR120C,21.632487656664242
33,YHR152W,4.56100432061118
34,YDL061C,1.57074405013988
35,YDR205W,3.82024787048738
36,YPL133C,3.82024787048738
37,YIL057C,5.28986393099508
38,YJL102W,2.10470930540676
39,YLR312C,1.30395288880798
40,YJL134W,1.67716594426565
41,YNL058C,1.89914900742761
42,YBR262C,1.39143914722343
43,YDR110W,4.25128359332692
44,YLR065C,4.78261865650358
45,YBR108W,7.54924308726396
46,YER086W,10.45905424823195
47,YNL216W,5.06885641985572
48,YKL157W,6.1799526541765895
49,YGL222C,2.43601987504992
50,YBR176W,15.38892812959106
51,YER058W,1.24371108734104
52,YLR008C,1.65069790099748
53,YAL041W,5.21896578208798
54,YOR158W,9.42564720308257
55,YLR166C,8.61830112230914
56,YBL031W,1.36281556655964
57,YKR021W,3.75083501866802
58,YDR074W,2.01647256155193
59,YJL155C,2.10470930540676
60,YMR061W,4.5457057784067505
61,YJL170C,3.36504892284794
62,YKR053C,2.10470930540676
63,YJL002C,2.37172254233342
64,YBR068C,2.10470930540676
65,YIL031W,1.28900902903852
66,YGL021W,2.10470930540676
67,YIL142W,1.97348625858551
68,YNR007C,10.866295422474801
69,YBR055C,3.82024787048738
70,YGL187C,6.20745427077021
71,YGR232W,7.67817551667806
72,YFR028C,1.24371108734104
73,YHR019C,3.82121762797936
74,YBR077C,9.26963831939562
75,YML060W,3.51053750937326
76,YER157W,5.24628414561751
77,YER137C,3.19557489005439
78,YGR205W,6.22569643972096
79,YJL082W,1.80867391950668
80,YMR267W,3.82024787048738
81,YMR246W,3.50636836490677
82,YER151C,3.73606575330791
83,YEL036C,3.82121762797936
84,YDR111C,2.10470930540676
85,YJR043C,1.97348625858551
86,YMR263W,5.78649048300257
87,YBR135W,18.78692695869554
88,YBL086C,2.10470930540676
89,YDR373W,4.7053898169481
90,YOR324C,9.35254222319953
91,YKR005C,1.30571343205346
92,YLR384C,1.97348625858551
93,YCL044C,1.53586515997663
94,YKL183W,4.67587476094158
95,YNL311C,5.45756849094818
96,YGL104C,1.3958393944919
97,YHR041C,21.574086516155116
98,YJL159W,5.0140831817641605
99,YAR033W,1.89914900742761
100,YNL211C,2.18732314452046
101,YER163C,1.43969593796877
102,YJL036W,7.55159268139564
103,YGR042W,1.79271258131129
104,YML123C,1.24371108734104
105,YCL045C,1.24371108734104
106,YLR388W,2.10470930540676
107,YGL138C,1.84772676715477
108,YIL110W,6.54332173967811
109,YHR178W,17.66870181874648
110,YGL124C,1.77734022473581
111,YPR018W,7.7574026520340205
112,YPL018W,2.79389139162578
113,YNL092W,46.66724824131958
114,YBL092W,4.79313432284975
115,YJL187C,1.97348625858551
116,YBR186W,2.63625954564721
117,YKL197C,3.74191867515626
118,YDR224C,2.10470930540676
119,YOR064C,2.52575072822642
120,YBR146W,2.10470930540676
121,YHR117W,3.23875687962199
122,YOR066W,1.89914900742761
123,YER119C,4.28612443352613
124,YER059W,10.68876281143837
125,YMR299C,2.10470930540676
126,YPR029C,13.968950922216349
127,YNL316C,1.97348625858551
128,YOL146W,1.30395288880798
129,YKL075C,5.57122216137731
130,YBR035C,1.69768227418079
131,YNL158W,1.37926177595859
132,YKL134C,1.36611986893615
133,YLL018C,0.0
134,YDL085W,1.41026849089569
135,YDR530C,1.97296089540181
136,YJR005W,3.42152907485305
137,YBR154C,5.01044202466408
138,YLR448W,2.10470930540676
139,YDR532C,8.023050827789831
140,YOR289W,3.82590297091691
141,YLR021W,1.37926177595859
142,YER186C,1.56423025113519
143,YPL125W,5.36461320946378
144,YPR058W,1.97348625858551
145,YGL180W,1.97348625858551
146,YLR461W,2.08135396722
147,YGL153W,21.07076573543317
148,YLR025W,18.40729292642563
149,YIL117C,3.19984980299549
150,YGL010W,3.07409491380383
151,YDR126W,1.80867391950668
152,YOL148C,1.36611986893615
153,YPL064C,1.28900902903852
154,YJL110C,6.02749474499533
155,YNL037C,5.03445368813618
156,YGR142W,3.2998003339576902
157,YNL292W,1.97348625858551
158,YBR038W,6.87800841999968
159,YOR271C,1.29026225827523
160,YHR144C,1.41921998108872
161,YCL010C,5.19236441323018
162,YPR194C,2.10470930540676
163,YDL049C,5.69744702228283
164,YOL070C,1.36611986893615
165,YKR029C,2.10470930540676
166,YAR003W,1.3506035019091
167,YJR115W,2.10470930540676
168,YGL018C,1.32403141272815
169,YER078C,6.29632576850387
170,YBR269C,2.10470930540676
171,YGR277C,1.61851735174972
172,YML075C,1.97348625858551
173,YDR425W,14.825393689164102
174,YMR276W,3.19557489005439
175,YGR204W,1.36611986893615
176,YEL066W,11.3237169298241
177,YJR134C,5.5418051815065805
178,YHR151C,2.10470930540676
179,YBL024W,1.97348625858551
180,YML106W,1.53586515997663
181,YBR254C,10.029346196157702
182,YFL045C,3.13368417355964
183,YNL194C,2.4618520143611704
