index,protein,dc
0,YOR140W,15.332601491994351
1,YLR443W,2.7949630213531202
2,YBR011C,30.698841810592103
3,YDR502C,31.712937485192125
4,YDL182W,81.92890042329284
5,YPL143W,321.3320077303143
6,YCR017C,11.375459616957759
7,YLL011W,181.45865736341437
8,YLR084C,5.31914669414507
9,YPL133C,12.253869935422228
10,YFL005W,12.219569878412809
11,YPL176C,12.00031074166052
12,YDR150W,46.214593285857454
13,YJL102W,12.482450149349189
14,YLR149C,8.9546409373275
15,YJR032W,19.953785381641715
16,YBR229C,25.80164706682726
17,YPL202C,32.23307388743026
18,YBL031W,27.051101194336674
19,YCR093W,89.64226084541129
20,YJL002C,33.03719633912237
21,YMR111C,16.578666661763602
22,YIL031W,24.08844274066847
23,YCR092C,23.084671583829387
24,YCR065W,21.828543307561247
25,YBR055C,239.85294861305894
26,YMR028W,18.25070125646794
27,YPL081W,175.21605166192197
28,YJL122W,18.30702396365473
29,YMR015C,8.25794060843333
30,YJR084W,94.56755896535766
31,YER157W,48.87215825720909
32,YER137C,1.7292266660443
33,YOL081W,26.08119592821021
34,YER151C,22.703349704892858
35,YLR445W,24.43080624788066
36,YOR324C,14.87650032195975
37,YDL003W,44.26107181032392
38,YNL311C,11.451422564554399
39,YAR033W,5.51830210210934
40,YOR304C-A,100.36292453360471
41,YDR369C,23.18097423503949
42,YML123C,6.5050920779983095
43,YGL124C,18.778812869353853
44,YNL022C,7.29658506634507
45,YDR393W,11.43463135933818
46,YBL092W,277.7789787391009
47,YKL197C,21.926572792606507
48,YPL147W,12.52134229142528
49,YER065C,25.744634850031872
50,YOR066W,3.23079021849827
51,YHR117W,30.24999450541583
52,YOR367W,9.07523044797183
53,YMR299C,21.800323978731036
54,YDR146C,22.120308980609902
55,YBR010W,118.74479872666296
56,YNL158W,2.61635603573062
57,YKL134C,12.98975245364301
58,YPL110C,18.185255649210532
59,YNR008W,5.66479063548878
60,YDL085W,8.18711573484244
61,YDR530C,13.55377135510665
62,YBR154C,186.62425491898222
63,YDR255C,38.71634265091531
64,YPL167C,9.144699742705981
65,YGL153W,12.91737538428968
66,YHL022C,11.985931143665521
67,YMR031C,25.21647660227057
68,YNL292W,16.10472769642044
69,YKL178C,24.871182117637606
70,YPR194C,12.71803818030115
71,YAR003W,31.126339197207532
72,YGR277C,5.31226162169706
73,YML075C,12.34561751989687
74,YMR308C,77.65181062173065
75,YKL091C,27.990056317967486
76,YML106W,16.55815783414378
77,YBR254C,57.783024265218074
78,YMR228W,17.501763752024488
79,YDL204W,15.29157450589914
80,YKR037C,52.23540825591442
81,YDL126C,88.16034990937828
82,YML043C,23.25004447764517
83,YLR270W,28.89895095142154
84,YMR033W,161.1964995356938
85,YER168C,18.996889272963962
86,YHR107C,47.52572465572614
87,YOR201C,11.26670916419109
88,YBR065C,85.44649669434587
89,YER180C,18.12098395396474
90,YIL130W,34.27861266582427
91,YDL093W,10.83740800112974
92,YPL265W,15.02202650961775
93,YMR002W,38.49804378993113
94,YPR178W,209.34643730508947
95,YDL084W,88.07269905517771
96,YNR041C,13.267839263820377
97,YDL203C,36.42512734155089
98,YBR059C,36.65081992661274
99,YAL024C,16.86333982349494
100,YMR095C,18.244053102922706
101,YOL003C,19.789852499268232
102,YCR048W,1.22066349343512
103,YKL138C,53.742385188368814
104,YLR419W,24.69159966742798
105,YMR005W,84.47896334094258
106,YJR092W,37.454542742762435
107,YKL192C,47.45946049789456
108,YGL100W,65.37386124058115
109,YER128W,11.561428757215431
110,YDL048C,22.251361641951142
111,YDR435C,19.15716577143453
112,YHR033W,7.63022700068712
113,YNL232W,66.89474696478437
114,YPR089W,8.28481404024124
115,YER100W,6.238992420164131
116,YBR049C,52.708777379682644
117,YDL022W,13.209116229139298
118,YER146W,118.43281326766675
119,YER070W,46.23637089339663
120,YDR473C,179.39360950340551
121,YPR002W,5.67279350461318
122,YKL220C,21.6716737945776
123,YLR146C,20.00436714942116
124,YMR068W,10.78654385403321
125,YDL135C,22.29004914689075
126,YOR188W,11.64525369324163
127,YOR220W,33.564077891152635
128,YLR118C,10.972422896784199
129,YGL083W,7.32975926424878
130,YPL100W,3.07404043211589
131,YIL065C,10.390194766527499
132,YDR490C,23.090030888730393
133,YMR060C,9.75263039546841
134,YGL087C,107.14372402610068
135,YDR460W,47.05986556334983
136,YPR167C,17.85499051144511
137,YGL237C,54.04582863570806
138,YBR187W,3.7826467415375102
139,YOR298W,1.96985639804392
140,YIL129C,48.06866892090098
141,YIL083C,25.40975691870794
142,YGL080W,6.50376935128926
143,YNL062C,10.611664514637269
144,YHR162W,5.8432123360414705
145,YKR085C,186.13896559449233
146,YGR196C,33.27505322435766
147,YHR128W,30.813845024890334
148,YDR233C,19.988579439753003
149,YGR239C,5.8650374123338
150,YBR036C,15.679126469187718
151,YPL137C,37.819033176166144
152,YFR011C,27.10118664950445
153,YJL203W,143.21935125469997
154,YPL198W,492.86218720392134
155,YBL093C,91.25354969943491
156,YOL142W,118.12719206226377
157,YML102W,14.85623287325437
158,YIL162W,5.356921203841541
159,YKL028W,37.43524094980476
160,YMR056C,6.0417135042332095
161,YGL213C,14.112355856955139
162,YDR108W,112.60850872026336
163,YBL030C,32.976952797066076
